2.246660,0.33950,-0.72408,0.10129,5.14856,5.15082
2.261999,0.33810,-0.72177,0.10297,5.14856,5.15046
2.277231,0.33670,-0.72100,0.10353,5.14856,5.14928
2.292533,0.33978,-0.72492,0.10213,5.14856,5.15070
2.307750,0.34090,-0.72548,0.10213,5.14856,5.15166
2.322989,0.34426,-0.72716,0.10213,5.14856,5.15456
2.338308,0.34230,-0.73031,0.10140,5.14856,5.15069
2.353662,0.34034,-0.73136,0.10115,5.14856,5.14794
2.368984,0.34090,-0.72212,0.11193,5.14856,5.15345
2.387692,0.34012,-0.72391,0.11019,5.14856,5.15161
2.403004,0.33894,-0.72660,0.10759,5.14856,5.14886
2.418363,0.34692,-0.72891,0.10479,5.14856,5.15661
2.433650,0.34062,-0.72996,0.10423,5.14856,5.14898
2.448824,0.34090,-0.73080,0.10255,5.14856,5.14886
2.464055,0.34146,-0.72982,0.10885,5.14856,5.15000
2.479630,0.34202,-0.72884,0.11515,5.14856,5.15115
2.494881,0.34223,-0.72527,0.11473,5.14856,5.15328
2.510078,0.34230,-0.72506,0.11319,5.14856,5.15347
2.525807,0.33670,-0.72800,0.10857,5.14856,5.14559
2.541198,0.33908,-0.72912,0.10430,5.14856,5.14769
2.556513,0.34146,-0.73024,0.10003,5.14856,5.14978
2.572006,0.34041,-0.73045,0.10479,5.14856,5.14849
2.587800,0.33971,-0.73024,0.10521,5.14856,5.14781
2.603131,0.33866,-0.72940,0.10647,5.14856,5.14707
2.621945,0.34051,-0.72419,0.11952,5.14856,5.15191
2.637260,0.34174,-0.72072,0.11666,5.14856,5.15516
2.652582,0.34986,-0.72296,0.11781,5.14856,5.16310
2.667893,0.34608,-0.72380,0.11550,5.14856,5.15840
2.683133,0.33474,-0.72464,0.11319,5.14856,5.14513
2.698435,0.34293,-0.72989,0.10595,5.14856,5.15162
2.713696,0.34566,-0.73164,0.10448,5.14856,5.15375
2.729154,0.34006,-0.72940,0.10731,5.14856,5.14865
2.744457,0.34013,-0.72968,0.10304,5.14856,5.14858
2.759743,0.34034,-0.73052,0.09877,5.14856,5.14838
2.775046,0.34370,-0.72947,0.10392,5.14856,5.15270
2.790590,0.34482,-0.72912,0.10434,5.14856,5.15414
2.809335,0.34342,-0.72744,0.10045,5.14856,5.15346
2.824718,0.34314,-0.72800,0.09730,5.14856,5.15285
2.839953,0.34286,-0.72856,0.09625,5.14856,5.15224
2.855203,0.34286,-0.72632,0.10591,5.14856,5.15343
2.870450,0.34496,-0.72583,0.10556,5.14856,5.15605
2.885823,0.35126,-0.72436,0.10451,5.14856,5.16390
2.901076,0.34622,-0.72646,0.10703,5.14856,5.15713
2.916406,0.34118,-0.72856,0.10787,5.14856,5.15035
